config,shape,ms_median,gb_per_s,bw_eff_percent
pure_v11,K=2048_N=2048,0.0100,104.4,11.15
pure_v13_int4tc,K=2048_N=2048,0.0113,186.2,19.89
hybrid_v13,K=2048_N=2048,0.0101,103.7,11.08
pure_v11,K=2048_N=512,0.0092,28.4,3.04
pure_v13_int4tc,K=2048_N=512,0.0113,46.5,4.97
hybrid_v13,K=2048_N=512,0.0092,28.4,3.04
pure_v11,K=2048_N=8192,0.0213,196.5,20.99
pure_v13_int4tc,K=2048_N=8192,0.0184,455.1,48.62
hybrid_v13,K=2048_N=8192,0.0184,455.1,48.62
pure_v11,K=8192_N=2048,0.0245,171.3,18.30
pure_v13_int4tc,K=8192_N=2048,0.0307,273.1,29.17
hybrid_v13,K=8192_N=2048,0.0246,170.7,18.23
pure_v11,K=2048_N=128256,0.1997,328.9,35.13
pure_v13_int4tc,K=2048_N=128256,0.1597,822.2,87.83
hybrid_v13,K=2048_N=128256,0.1597,822.2,87.83
